match_key,match_date,year,tourney_id,tournament,event_type,surface,indoor,round,best_of,score,minutes,data_source,player_id,player,player_rank,player_seed,player_entry,opponent_id,opponent,opponent_country,opponent_rank,opponent_seed,result,win,aces,double_faults,serve_points,first_serves_in,first_serve_points_won,second_serve_points_won,service_games,bp_saved,bp_faced,opp_bp_saved,opp_bp_faced,ranking_difference,upset_win,upset_loss,first_serve_in_pct,first_serve_win_pct,second_serve_win_pct,bp_save_pct,bp_opportunities,bp_converted,bp_conversion_pct,ace_rate,double_fault_rate,completed_sets,winner_sets_won,loser_sets_won,tiebreaks_played,winner_tiebreaks_won,loser_tiebreaks_won,winner_won_first_set,retirement_or_abandoned,walkover_or_default,score_parseable,deciding_set_played,five_set_match,player_sets_won,opponent_sets_won,player_tiebreaks_won,tiebreak_win_pct,straight_set_win,deciding_set_win,five_set_win,comeback_win,ranking_expected_win_prob,expectation_group,performance_vs_expectation,expectation_outcome
2026-403|6,2026-03-19,2026,2026-403,Miami Masters,Masters 1000,Hard,O,R128,3,6-3 3-6 6-3,85.0,completed,B0NO,Darwin Blanch,272.0,,,SL28,Jan-Lennard Struff,GER,78.0,,W,1,9.0,1.0,76.0,50.0,41.0,13.0,14.0,2.0,4.0,7.0,10.0,-194.0,1,0,0.6578947368421053,0.82,0.5,0.5,10.0,3.0,0.3,0.11842105263157894,0.013157894736842105,3,2,1,0,0,0,True,False,False,True,True,False,2,1,0,,0,1,0,0,0.22285714285714286,Expected loss,0.7771428571428571,Upset win
2026-403|8,2026-03-19,2026,2026-403,Miami Masters,Masters 1000,Hard,O,R128,3,6-2 6-4,66.0,completed,Q02L,Ethan Quinn,56.0,,,HB71,Hubert Hurkacz,POL,75.0,,W,1,4.0,3.0,47.0,27.0,22.0,15.0,9.0,0.0,0.0,3.0,6.0,19.0,0,0,0.574468085106383,0.8148148148148148,0.75,,6.0,3.0,0.5,0.0851063829787234,0.06382978723404255,2,2,0,0,0,0,True,False,False,True,False,False,2,0,0,,1,0,0,0,0.5725190839694656,Toss-up,0.4274809160305344,Win
2026-403|20,2026-03-20,2026,2026-403,Miami Masters,Masters 1000,Hard,O,R128,3,6-2 6-1,65.0,completed,M0QI,Alex Michelsen,40.0,,,B0GG,Mattia Bellucci,ITA,77.0,,W,1,8.0,2.0,52.0,41.0,34.0,2.0,8.0,6.0,6.0,1.0,5.0,37.0,0,0,0.7884615384615384,0.8292682926829268,0.18181818181818182,1.0,5.0,4.0,0.8,0.15384615384615385,0.038461538461538464,2,2,0,0,0,0,True,False,False,True,False,False,2,0,0,,1,0,0,0,0.6581196581196581,Expected win,0.3418803418803419,Win
2026-403|22,2026-03-20,2026,2026-403,Miami Masters,Masters 1000,Hard,O,R128,3,2-6 6-4 6-1,91.0,completed,N0AM,Emilio Nava,74.0,,,M0FH,Tomas Machac,CZE,48.0,,L,0,4.0,3.0,80.0,52.0,33.0,16.0,13.0,5.0,9.0,0.0,2.0,-26.0,0,0,0.65,0.6346153846153846,0.5714285714285714,0.5555555555555556,2.0,2.0,1.0,0.05,0.0375,3,2,1,0,0,0,False,False,False,True,True,False,1,2,0,,0,0,0,0,0.39344262295081966,Toss-up,-0.39344262295081966,Loss
2026-403|26,2026-03-20,2026,2026-403,Miami Masters,Masters 1000,Hard,O,R128,3,6-4 3-6 7-6(7),179.0,completed,K0AZ,Aleksandar Kovacevic,92.0,,,S0UV,Rei Sakamoto,JPN,164.0,,L,0,21.0,2.0,88.0,69.0,56.0,9.0,16.0,1.0,2.0,0.0,1.0,72.0,0,1,0.7840909090909091,0.8115942028985508,0.47368421052631576,0.5,1.0,1.0,1.0,0.23863636363636365,0.022727272727272728,3,2,1,1,1,0,True,False,False,True,True,False,1,2,0,0.0,0,0,0,0,0.640625,Toss-up,-0.640625,Loss
2026-403|27,2026-03-20,2026,2026-403,Miami Masters,Masters 1000,Hard,O,R64,3,6-2 2-6 6-4,127.0,completed,PL56,Tommy Paul,23.0,22.0,,ME82,Adrian Mannarino,FRA,43.0,,W,1,6.0,2.0,67.0,41.0,31.0,15.0,13.0,0.0,3.0,3.0,7.0,20.0,0,0,0.6119402985074627,0.7560975609756098,0.5769230769230769,0.0,7.0,4.0,0.5714285714285714,0.08955223880597014,0.029850746268656716,3,2,1,0,0,0,True,False,False,True,True,False,2,1,0,,0,1,0,0,0.6515151515151515,Expected win,0.3484848484848485,Win
2026-403|28,2026-03-20,2026,2026-403,Miami Masters,Masters 1000,Hard,O,R64,3,6-4 7-6(7),111.0,completed,Q02L,Ethan Quinn,56.0,,,RH16,Casper Ruud,NOR,12.0,11,W,1,13.0,4.0,79.0,54.0,44.0,13.0,11.0,6.0,6.0,3.0,4.0,-44.0,1,0,0.6835443037974683,0.8148148148148148,0.52,1.0,4.0,1.0,0.25,0.16455696202531644,0.05063291139240506,2,2,0,1,1,0,True,False,False,True,False,False,2,0,1,1.0,1,0,0,0,0.17647058823529413,Expected loss,0.8235294117647058,Upset win
2026-403|31,2026-03-21,2026,2026-403,Miami Masters,Masters 1000,Hard,O,R64,3,6-3 6-7(2) 6-3,122.0,completed,FB98,Taylor Fritz,7.0,6.0,,V812,otic van de Zandschulp,NED,65.0,,W,1,18.0,2.0,90.0,58.0,48.0,19.0,16.0,2.0,2.0,5.0,7.0,58.0,0,0,0.6444444444444445,0.8275862068965517,0.59375,1.0,7.0,2.0,0.2857142857142857,0.2,0.022222222222222223,3,2,1,1,0,1,True,False,False,True,True,False,2,1,0,0.0,0,1,0,0,0.9027777777777778,Expected win,0.09722222222222221,Win
2026-403|34,2026-03-21,2026,2026-403,Miami Masters,Masters 1000,Hard,O,R64,3,7-6(3) 7-6(0),92.0,completed,O522,Reilly Opelka,67.0,,,D0CO,Jack Draper,GBR,26.0,25,W,1,25.0,2.0,73.0,54.0,47.0,11.0,12.0,1.0,1.0,0.0,0.0,-41.0,1,0,0.7397260273972602,0.8703703703703703,0.5789473684210527,1.0,0.0,0.0,,0.3424657534246575,0.0273972602739726,2,2,0,2,2,0,True,False,False,True,False,False,2,0,2,1.0,1,0,0,0,0.27956989247311825,Expected loss,0.7204301075268817,Upset win
2026-403|35,2026-03-21,2026,2026-403,Miami Masters,Masters 1000,Hard,O,R64,3,6-2 6-3,65.0,completed,B0NO,Darwin Blanch,272.0,,,F0F1,Arthur Fils,FRA,31.0,28.0,L,0,3.0,1.0,63.0,43.0,29.0,6.0,8.0,8.0,11.0,0.0,0.0,-241.0,0,0,0.6825396825396826,0.6744186046511628,0.3,0.7272727272727273,0.0,0.0,,0.047619047619047616,0.015873015873015872,2,2,0,0,0,0,True,False,False,True,False,False,0,2,0,,0,0,0,0,0.10231023102310231,Expected loss,-0.10231023102310231,Loss
